,hd-name,folder-name,file-name,video-name
0,April,Pa_Wed_7dpf_GroupA_n2b_20210407,Pa_Wed_7dpf_GroupA_n2b_20210407_2021-04-07-125752-0000.raw,Pa_Wed_7dpf_GroupA_n2b_20210407_2021-04-07-125752
1,April,Pa_Wed_7dpf_GroupA_n2c_20210407,Pa_Wed_7dpf_GroupA_n2c_20210407_2021-04-07-133548-0000.raw,Pa_Wed_7dpf_GroupA_n2c_20210407_2021-04-07-133548
2,April,Pa_Wed_7dpf_GroupB_n2b_20210407,Pa_Wed_7dpf_GroupB_n2b_20210407_2021-04-07-141234-0000.raw,Pa_Wed_7dpf_GroupB_n2b_20210407_2021-04-07-141234
3,April,sf_wed_7dpf_groupA_n2b_202104141325,sf_wed_7dpf_groupA_n2b_20210414_2021-04-14-132517-0000.raw,sf_wed_7dpf_groupA_n2b_20210414_2021-04-14-132517
4,April,sf_wed_7dpf_groupA_n2c_202104141508,sf_wed_groupA_n2c_2021-04-14-150846-0000.raw,sf_wed_groupA_n2c_2021-04-14-150846
5,April,sf_wed_7dpf_groupA_n2d_202104141508,sf_wed_7dpf_groupA_n2d_2021-04-14-150847-0000.raw,sf_wed_7dpf_groupA_n2d_2021-04-14-150847
6,April,sf_wed_7dpf_groupA_n2_202104141325,sf_wed_groupA_n2_20210414_2021-04-14-132512-0000.raw,sf_wed_groupA_n2_20210414_2021-04-14-132512
7,April,sf_wed_7dpf_groupA_n5b_202104141508,sf_wed_groupa_n5b_2021-04-14-150847-0000.raw,sf_wed_groupa_n5b_2021-04-14-150847
8,April,sf_wed_7dpf_groupA_n5_202104141325,sf_wed_7_dpf_groupA_n5_2021041_2021-04-14-132515-0000.raw,sf_wed_7_dpf_groupA_n5_2021041_2021-04-14-132515
9,April,sf_wed_7dpf_groupb_n2b_202104141600,sf_wed_7dpf_groupb_n2b_2021-04-14-160030-0000.raw,sf_wed_7dpf_groupb_n2b_2021-04-14-160030
10,April,sf_wed_7dpf_groupB_n2c_202104141653,sf_wed_7dpf_groupB_n2c_2021-04-14-165345-0000.raw,sf_wed_7dpf_groupB_n2c_2021-04-14-165345
11,April,sf_wed_7dpf_groupB_n2d_202104141653,sf_wed_7dpf_groupB_n2d_2021-04-14-165351-0000.raw,sf_wed_7dpf_groupB_n2d_2021-04-14-165351
12,April,SF_wed_7dpf_groupB_n2_202104141556,SF_wed_7dpf_groupB_n2b_2021-04-14-155647-0000.raw,SF_wed_7dpf_groupB_n2b_2021-04-14-155647
13,April,sf_wed_7dpf_groupB_n5b_202104141653,sf_wed_7dpf_groupB_n5b_2021-04-14-165340-0000.raw,sf_wed_7dpf_groupB_n5b_2021-04-14-165340
14,April,sf_wed_7dpf_groupB_n5_202104141556,sf_wed_7dpf_groupB_n5_2021-04-14-155646-0000.raw,sf_wed_7dpf_groupB_n5_2021-04-14-155646
15,April,Pa_sat_7dpf_GroupA_n2a_202104171441,Pa_sat_7dpf_GroupA_n2a_20210417_2021-04-17-144122-0000.raw,Pa_sat_7dpf_GroupA_n2a_20210417_2021-04-17-144122
16,April,pa_sat_7dpf_groupA_n2b_202104171440,pa_sat_7dpf_groupA_n2b_20210417_2021-04-17-114135-0000.raw,pa_sat_7dpf_groupA_n2b_20210417_2021-04-17-114135
17,April,pa_sat_7dpf_groupA_n2c_202104171441,pa_sat_7dpf_groupA_n2c_20210417_2021-04-17-144132-0000.raw,pa_sat_7dpf_groupA_n2c_20210417_2021-04-17-144132
18,April,Pa_sat_7dpf_GroupA_n2d_202104171518,Pa_sat_7dpf_GroupA_n2d_20210417_2021-04-17-151833-0000.raw,Pa_sat_7dpf_GroupA_n2d_20210417_2021-04-17-151833
19,April,pa_sat_7dpf_groupA_n2e_202104171518,pa_sat_7dpf_groupA_n2e_20210417_2021-04-17-121842-0000.raw,pa_sat_7dpf_groupA_n2e_20210417_2021-04-17-121842
20,April,pa_sat_7dpf_groupA_n2f_202104171518,pa_sat_7dpf_groupA_n2f_202100417_2021-04-17-151834-0000.raw,pa_sat_7dpf_groupA_n2f_202100417_2021-04-17-151834
21,April,Pa_sat_7dpf_GroupA_n5b_202104171322,Pa_sat_7dpf_GroupA_n5b_20210417_2021-04-17-132153-0000.raw,Pa_sat_7dpf_GroupA_n5b_20210417_2021-04-17-132153
22,April,pa_sat_7dpf_groupA_n5c_202104171322,pa_sat_7dpf_groupA_n5c_20210417_2021-04-17-102204-0000.raw,pa_sat_7dpf_groupA_n5c_20210417_2021-04-17-102204
23,April,pa_sat_7dpf_groupA_n5d_202104171405,pa_sat_7dpf_groupA_n5d_20210417_2021-04-17-110402-0000.raw,pa_sat_7dpf_groupA_n5d_20210417_2021-04-17-110402
24,April,pa_sat_7dpf_groupA_n5e_202104171405,pa_sat_7dpf_groupA_n5e_20210417_2021-04-17-140401-0000.raw,pa_sat_7dpf_groupA_n5e_20210417_2021-04-17-140401
25,April,pa_sat_7dpf_groupA_n5f_202104171405,pa_sat_7dpf_groupA_n5f_20210417_2021-04-17-140347-0000.raw,pa_sat_7dpf_groupA_n5f_20210417_2021-04-17-140347
26,April,pa_sat_7dpf_groupA_n5g_202104171603,pa_sat_7dpf_groupA_n5g_20210417_2021-04-17-130225-0000.raw,pa_sat_7dpf_groupA_n5g_20210417_2021-04-17-130225
27,April,pa_sat_7dpf_groupA_n5_202104171405,pa_sat_7dpf_n5_20210417_2021-04-17-132154-0000.raw,pa_sat_7dpf_n5_20210417_2021-04-17-132154
